"Name"
"FileAndStorage-Services"
"Storage-Services"
"RemoteAccess"
"DirectAccess-VPN"
"Routing"
"Web-Server"
"Web-WebServer"
"Web-Common-Http"
"Web-Default-Doc"
"Web-Dir-Browsing"
"Web-Http-Errors"
"Web-Static-Content"
"Web-Health"
"Web-Http-Logging"
"Web-Performance"
"Web-Stat-Compression"
"Web-Security"
"Web-Filtering"
"Web-IP-Security"
"Web-Mgmt-Tools"
"Web-Mgmt-Console"
"Web-Scripting-Tools"
"NET-Framework-45-Features"
"NET-Framework-45-Core"
"NET-WCF-Services45"
"NET-WCF-TCP-PortSharing45"
"GPMC"
"CMAK"
"RSAT"
"RSAT-Role-Tools"
"RSAT-RemoteAccess"
"RSAT-RemoteAccess-Mgmt"
"RSAT-RemoteAccess-PowerShell"
"System-DataArchiver"
"Windows-Defender"
"Windows-Internal-Database"
"PowerShellRoot"
"PowerShell"
"PowerShell-ISE"
"WoW64-Support"
"XPS-Viewer"
